// Refer to timecycext.dat for information on each parameter.
// A value of -1.0 means that the timecyc values are not overridden.

//                       VolFogDensity    VolFogHeightFalloff    VolFogAltitudeTweak    VolFogPower    SSIntensity    CHSSLightSize
noambient                -1.0             -1.0                   -1.0                   -1.0           -1.0           -1.0
NoAmbientmult            -1.0             -1.0                   -1.0                   -1.0           -1.0           -1.0
qwnomoon                 -1.0             -1.0                   -1.0                   -1.0           -1.0           -1.0
qw2nomoon                -1.0             -1.0                   -1.0                   -1.0           -1.0           -1.0
Brook_S2_TC              -1.0             -1.0                   -1.0                   -1.0           -1.0           -1.0
MH_NOMOON                -1.0             -1.0                   -1.0                   -1.0           -1.0           -1.0
KsS1nomoon1              -1.0             -1.0                   -1.0                   -1.0           -1.0           -1.0
KsS1nomoon2              -1.0             -1.0                   -1.0                   -1.0           -1.0           -1.0
KsS1nomoon3              -1.0             -1.0                   -1.0                   -1.0           -1.0           -1.0
Brook_N_gden             -1.0             -1.0                   -1.0                   -1.0           -1.0           -1.0
Buildsite_MH1            -1.0             -1.0                   -1.0                   -1.0           -1.0           -1.0
MH3carpark               -1.0             -1.0                   -1.0                   -1.0           -1.0           -1.0
bkn2_Nomoon1             -1.0             -1.0                   -1.0                   -1.0           -1.0           -1.0
bkn2_Nomoon2             -1.0             -1.0                   -1.0                   -1.0           -1.0           -1.0
bks3norain               -1.0             -1.0                   -1.0                   -1.0           -1.0           -1.0
MHNoMoon                 -1.0             -1.0                   -1.0                   -1.0           -1.0           -1.0
erosware                 0.004            0.01                   0.7                    2.0            -1.0           -1.0
QM_Nomoon                -1.0             -1.0                   -1.0                   -1.0           -1.0           -1.0
NJ2nomoon                -1.0             -1.0                   -1.0                   -1.0           -1.0           -1.0
bxwnomoon                -1.0             -1.0                   -1.0                   -1.0           -1.0           -1.0
star_junc                -1.0             -1.0                   -1.0                   -1.0           -1.0           -1.0
raytest                  0.004            0.01                   0.7                    2.0            -1.0           -1.0
raytest2                 0.004            0.01                   0.7                    2.0            -1.0           -1.0
NJ02TUNNEL               0.004            0.01                   0.7                    2.0            -1.0           -1.0
Internaldim              0.004            0.01                   0.7                    2.0            -1.0           -1.0
SoosTunnel               -1.0             -1.0                   -1.0                   -1.0           -1.0           -1.0
Nikwarehouse             -1.0             -1.0                   -1.0                   -1.0           -1.0           -1.0
clam                     0.02             0.01                   0.7                    1.0            -1.0           -1.0
vlads                    0.004            0.01                   0.7                    2.0            -1.0           -1.0
generic                  0.004            0.01                   0.7                    2.0            -1.0           -1.0
jamcafe                  0.004            0.01                   0.7                    2.0            -1.0           -1.0
ten_str                  0.004            0.01                   0.7                    2.0            -1.0           -1.0
playboyx                 0.004            0.01                   0.7                    2.0            -1.0           -1.0
browner                  0.004            0.01                   0.7                    2.0            -1.0           -1.0
limo                     0.004            0.01                   0.7                    2.0            -1.0           -1.0
STEVETUNNEL              -1.0             -1.0                   -1.0                   -1.0           -1.0           -1.0
SUBWAY                   0.004            0.01                   0.7                    2.0            -1.0           -1.0
SUBWAY_STATION           0.004            0.01                   0.7                    2.0            -1.0           -1.0
CARPARK                  0.004            0.01                   0.7                    2.0            -1.0           -1.0
RomansFl                 0.004            0.01                   0.7                    2.0            -1.0           -1.0
rscafe                   0.004            0.01                   0.7                    2.0            -1.0           -1.0
bernies                  0.004            0.01                   0.7                    2.0            -1.0           -1.0
Factorytest              0.004            0.01                   0.7                    2.0            -1.0           -1.0
Factory                  0.004            0.01                   0.7                    2.0            -1.0           -1.0
bens2                    0.004            0.01                   0.7                    2.0            -1.0           -1.0
Hospital                 0.004            0.01                   0.7                    2.0            -1.0           -1.0
Museum2                  0.004            0.01                   0.7                    2.0            -1.0           -1.0
Bada                     0.02             0.01                   0.7                    1.0            -1.0           -1.0
Badamine                 0.004            0.01                   0.7                    2.0            -1.0           -1.0
DrugDen                  0.004            0.01                   0.7                    2.0            -1.0           -1.0
