////////// EXTRASUNNY
//Amb0            Amb1            Dir            Sky top        Sky bot        SunCore        SunCorona     SunSz  SprBght FarClp   FogSt   LowCloudsRGB  BottomCloudRGB  WaterRGBA      Exposure BPThreshold MidGreyValue IntensityBloom ColourCorrectRGB ColourAddRGB Desaturation Contrast Gamma DesaturationFar ContrastFar GammaFar DepthFxNear DepthFxFar LumMin LumMax LumDelay CloudAlpha DirLightMult AmbLightMult0 AmbLightMult1 SkyLightMult SunMult Temperature   Far DOF   Near DOF   Near Blur DOF   Mid Blur DOF   Far Blur DOF    Water Reflection    Particle HDR    Sprite Size		Global sun multiplier ambient occlusion scaler
//Midnight
106 136 255   92 154 255  155 163 255  0 15  116   0 123 255    0   0   0    0   0   0  1.2 1.2 1500.00  50.00   35   9  10   26  30  36  45  48  55 154  2.69 0.30 0.71 4.94  126 154  88  204  52  41  0.34 1 0.78 0.83 1.00 1.19 15.75 182.64 19.88 256.00 0.10   0  1.00  3.51  3.57  1.84 0.00   0 1.389  0.341176 0.392157 0.498039  0.843137 0.901961 1.000000  0.592157 0.690196 0.843137  0.301961 0.325490 0.360784  1  4.976 0.162 1 0  0.435294 0.435294 0.435294  0.603 0.998 0.265 0.132 0.68 0.757 8.000 0.667 1.700 1 0.088 0.675 0.124 0.890 1.265  0.666 0.666 0.666  0.063  0.819608 0.819608 0.819608  0.624  6.900 0.320 0.180 0.045  25.75 25 26  0.199 0.096 0.98 1 0.000 0.000 1000.000 0 0 0.000 0.000 3.498 0.750 1 5.434783 1.000 0.800 2.0 1 1
//5AM
120 144 255   69 147 255  228 227 255  0 24  100   0 137 255   41  39  39   41  39  39  1.2 1.2 1500.00  54.00   35   9  10   26  30  36  45  45  45 168  2.28 0.25 0.69 1.23  133 142 116  204  83  74  0.51 1 0.85 0.83 1.00 1.35 15.79 174.12 16.93 256.00 0.10   0  2.50  3.69  3.85  2.75 2.00   1 1.080  0.411765 0.462745 0.576471  0.803922 0.847059 0.925490  0.623529 0.729412 0.886275  0.376471 0.415686 0.474510  1  4.500 0.168 1 0  0.443137 0.443137 0.443137  0.569 1.044 0.260 0.132 0.68 0.757 8.000 0.667 1.700 1 0.088 0.631 0.124 0.892 1.265  0.686 0.686 0.686  0.075  0.815686 0.815686 0.815686  0.550  9.697 0.484 0.165 0.045  25.75 25 26  0.199 0.096 0.98 1 0.000 0.000 1000.000 0 0 0.141 0.428 1.000 1.000 1 3.636364 1.000 0.733 2.0 1 1
//6AM
213 195 255   81 123 223  243 244 255  0 34   21 230 230 255  249 237 237  249 237 237  1.0 1.0 1500.00  73.97  113 115 113  106 105 102  29  34  66 239  0.24 0.01 0.60 1.55  155 117  88  128  64  64  0.65 1 0.71 0.82 1.00 1.17 16.01 131.49  2.19 254.89 0.17  71  7.79  1.69  3.25  5.35 12.50   9 0.379  0.772549 0.831373 0.949020  0.454902 0.619608 0.874510  0.866667 0.909804 1.000000  0.764706 0.862745 1.000000  1  2.202 0.200 1 0  0.478431 0.478431 0.478431  0.401 1.276 0.238 0.132 0.68 0.757 8.000 0.667 1.700 1 0.090 0.408 0.124 0.901 1.265  0.792 0.792 0.792  0.138  0.807843 0.807843 0.807843  0.177 23.683 0.006 0.674 0.000  24.00 25 26  0.000 0.000 0.98 1 0.000 0.000 1000.000 0 0 0.216 1.000 1.061 1.100 1 1.000000 1.000 0.900 2.0 1 1
//7AM
255 189 218  151 121  76  255 154 116  0 17   24 255 231 217  255 255 255  255 255 255  1.0 1.0 1500.00  73.03  119 120 120  105 105 105  12   6   3 239  0.14 0.00 0.61 2.88  154 116  87   52  26  26  0.66 1 0.71 0.82 1.00 1.18 15.99 127.95  1.46 255.92 0.17  77 17.00  4.00  4.50 12.75 13.00  10 0.400  0.901961 0.827451 0.721569  0.725490 0.576471 0.309804  1.000000 0.886275 0.839216  1.000000 0.862745 0.874510  1  1.860 0.203 1 0  0.478431 0.478431 0.478431  0.396 1.296 0.252 0.132 0.68 0.757 8.000 0.667 1.700 1 0.088 0.400 0.124 0.890 1.265  0.800 0.800 0.800  0.140  0.945098 0.772549 0.721569  0.164 25.000 0.000 0.685 0.000  24.00 25 26  0.000 0.000 0.98 1 0.000 0.000 1000.000 0 0 0.225 1.000 1.050 1.000 1 1.000000 1.000 0.600 2.0 1 1
//9AM
198 226 255  217 184 120  255 251 245  0 25    0  69 156 217  255 255 255  255 255 255  1.0 1.0 1500.00 100.00   58  72  40  199 230 196   8  14  19 240  0.14 0.16 0.62 4.30  169 133 100  128  72  72  0.63 1 0.60 0.51 1.00 0.90 16.00 128.00  1.53 256.00 0.10 217 17.00  4.75  5.00 19.25 13.00  10 0.360  0.482353 0.576471 0.788235  0.592157 0.647059 0.894118  0.592157 0.647059 0.894118  0.698039 0.698039 0.698039  1 16.660 0.155 1 0  0.290196 0.290196 0.290196  0.102 1.066 0.000 0.132 0.68 0.000 8.000 0.667 1.700 1 0.354 0.354 0.500 0.400 0.435  0.102 0.102 0.102  1.265  0.658824 0.658824 0.654902  0.000  1.700 0.000 0.685 0.000  24.00 25 26  0.000 0.000 0.98 1 0.000 0.296 1000.000 0 0 0.200 1.000 1.000 0.800 1 1.000000 1.000 0.700 2.0 1 1
//Midday
130 175 217  251 216 150  224 174  92  0 24    0   0 162 254  255 255 255  255 255 255  1.0 1.0 1500.00  73.00  119 120 120  105 105 105  14  21  27 125  0.19 0.00 0.61 2.88  135 136 135   34  77 128  0.70 1 0.92 0.82 1.00 0.96 16.00 128.00  1.46 256.00 0.11  77 14.75  6.25  8.50 11.50 13.00  10 0.460  0.478431 0.572549 0.780392  0.505882 0.584314 0.874510  0.890196 0.901961 1.000000  0.321569 0.321569 0.321569  1  1.298 0.370 1 0  0.286275 0.286275 0.290196  0.102 1.243 0.000 0.132 0.68 0.757 8.000 0.667 1.700 1 0.354 0.400 0.124 0.425 1.265  0.000 0.000 0.000  0.140  0.819608 0.690196 0.419608  0.164  5.000 0.000 0.685 0.000  24.00 25 26  0.000 0.000 0.98 1 0.032 0.000 130.750 0 0 0.000 1.000 1.000 0.800 1 1.000000 1.000 0.750 2.0 1 1
//6PM
185 220 255  217 184 120  255 251 245  0 33    0  69 156 217  255 255 255  255 255 255  1.0 1.0 1500.00 100.00   58  72  40  199 230 196   8  14  19 240  0.14 0.16 0.62 4.30  168 132  99  128  72  72  0.63 1 0.60 0.51 1.00 0.90 16.00 128.00  1.53 256.00 0.10 217 17.00  4.75  5.00 13.00 13.00  10 0.360  0.482353 0.576471 0.788235  0.592157 0.647059 0.894118  0.592157 0.647059 0.894118  0.698039 0.698039 0.698039  1 16.660 0.155 1 0  0.290196 0.290196 0.290196  0.102 1.066 0.000 0.132 0.68 0.000 8.000 0.667 1.700 1 0.354 0.354 0.500 0.400 0.435  0.102 0.102 0.102  1.265  0.658824 0.658824 0.654902  0.000  1.700 0.000 0.685 0.000  24.00 25 26  0.000 0.000 0.98 1 0.000 0.296 1000.000 0 0 0.200 1.000 1.000 1.000 1 1.000000 1.000 0.700 2.0 1 1
//7PM
247 211 162  255 220 171  255 189 165  0 35   24 235 155 100  255 255 255  255 255 255  1.0 1.0 1500.00  73.00  119 120 120  105 105 105  15  15  15 239  0.14 0.43 0.63 2.43  171 132 102   52  26  26  0.75 1 0.72 0.82 1.00 1.18 16.00 128.00  1.46 256.00 0.17  77 13.00  5.50  4.50 11.25 13.00  10 0.400  0.968627 0.882353 0.756863  0.803922 0.666667 0.450980  1.000000 0.886275 0.839216  1.000000 0.862745 0.874510  1  4.320 0.495 1 0  0.482353 0.450980 0.470588  0.396 1.296 0.252 0.132 0.68 0.757 8.000 0.667 1.700 1 0.088 0.400 0.124 0.890 1.265  0.800 0.800 0.800  0.140  0.996078 0.843137 0.800000  0.164  8.000 0.000 0.685 0.000  24.00 25 26  0.000 0.000 0.98 1 0.000 0.000 1000.000 0 0 0.225 1.000 1.050 1.000 1 1.000000 1.000 0.600 2.0 1 1
//8PM
